,City Name,Country Code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
450,kununurra,AU,-15.77,128.74,73.4,27,40,8.05
451,yeppoon,AU,-23.13,150.74,46.4,81,87,1.9
452,tura,RU,64.27,100.22,60.32,81,97,6.67
453,rovaniemi,FI,66.5,25.72,59.0,33,0,12.75
454,madang,CN,35.32,102.79,35.48,84,0,0.47
455,luwuk,ID,-0.95,122.79,61.76,97,100,4.03
456,pathein,MM,16.78,94.73,79.94,89,100,6.53
457,ketchikan,US,55.34,-131.65,59.97,100,90,10.29
458,marapanim,BR,-0.71,-47.7,81.56,79,0,17.05
459,cukai,MY,4.25,103.42,76.1,100,93,2.17
460,chauk,MM,20.89,94.82,77.6,78,100,11.88
461,knysna,ZA,-34.04,23.05,53.6,87,2,5.82
462,singarayakonda,IN,15.25,80.02,88.22,58,100,7.67
463,tolaga bay,NZ,-38.37,178.3,51.14,77,87,7.25
464,stonewall,CA,50.13,-97.33,73.29,53,75,12.75
465,grindavik,IS,63.84,-22.43,56.35,87,75,4.7
466,karagach,RU,43.81,43.77,62.22,82,90,2.24
467,nuuk,GL,64.17,-51.74,46.4,81,75,10.29
468,amapa,HN,15.09,-87.97,95.0,39,20,3.36
469,ustyuzhna,RU,58.84,36.43,44.12,96,0,3.76
470,yabrud,SY,33.97,36.66,68.58,41,0,11.41
471,seoul,KR,37.57,126.98,71.42,94,75,1.12
472,amposta,ES,40.71,0.58,81.14,74,0,3.36
473,yumen,CN,40.29,97.04,65.9,61,100,20.2
474,fasa,IR,28.94,53.65,93.2,23,40,9.17
475,manggar,ID,-2.88,108.27,75.26,92,89,3.33
476,erzin,TR,36.95,36.2,77.07,69,40,17.22
477,khiv,RU,41.75,47.93,52.58,96,53,1.21
478,sedona,US,34.87,-111.79,90.66,18,1,3.36
479,mendota,US,36.75,-120.38,91.6,35,1,9.17
480,puerto carreno,CO,6.19,-67.49,86.0,62,40,5.19
481,jilin,CN,43.84,126.54,62.84,90,0,2.59
482,tawang,BT,27.59,91.87,57.08,98,100,1.36
483,kindu,CD,-2.95,25.92,70.22,93,100,3.76
484,pangkalanbuun,ID,-2.68,111.62,71.48,98,51,1.74
485,nemuro,JP,43.32,145.57,54.92,92,100,14.2
486,broome,GB,52.47,1.45,64.44,82,40,10.29
487,dudinka,RU,69.41,86.18,57.2,87,40,11.18
488,high prairie,CA,55.43,-116.48,73.46,58,0,12.12
489,srednyaya akhtuba,RU,48.71,44.86,57.07,93,0,6.71
490,lalmohan,BD,22.34,90.74,81.38,87,99,12.39
491,nelson bay,AU,-32.72,152.14,58.77,47,7,11.41
492,ambulu,ID,-8.35,113.61,73.82,81,0,8.01
493,hobyo,SO,5.35,48.53,78.14,73,1,24.61
494,ndjole,GA,-0.18,10.76,74.18,87,53,5.14
495,mitsamiouli,KM,-11.38,43.28,73.4,78,20,4.7
496,margate,AU,-43.03,147.26,40.6,75,40,9.17
497,marsh harbour,BS,26.54,-77.06,84.8,69,100,8.01
498,mto wa mbu,TZ,-3.38,35.86,62.12,66,42,12.15
499,igarka,RU,67.47,86.57,63.02,66,90,8.66
500,khani,GE,41.96,42.96,68.0,94,75,4.7
501,otane,NZ,-39.89,176.62,51.01,85,0,11.01
502,aswan,EG,24.09,32.9,102.2,12,0,2.24
503,doha,QA,25.29,51.53,92.03,52,0,3.36
504,boyolangu,ID,-8.09,111.9,65.0,95,1,5.66
505,eusebio,BR,-3.89,-38.45,83.32,66,0,16.11
506,makakilo city,US,21.35,-158.09,81.86,65,1,6.93
507,nkhotakota,MW,-12.93,34.3,56.72,66,0,2.48
508,havelock,US,34.88,-76.9,87.08,66,40,12.75
509,san cristobal,HN,14.68,-86.92,83.54,44,33,11.39
510,taraclia,UA,45.9,28.68,61.22,66,0,1.63
511,beboto,TD,8.27,16.94,71.48,92,100,4.65
512,zilair,RU,52.23,57.44,75.8,38,0,17.07
513,ust-omchug,RU,61.13,149.63,68.96,40,38,1.5
514,seabra,BR,-12.42,-41.77,75.2,64,0,3.36
515,nanortalik,GL,60.14,-45.24,40.88,89,100,3.13
516,sioux lookout,CA,50.1,-91.92,68.0,68,75,11.41
517,ambovombe,MG,-25.18,46.09,70.22,63,0,8.19
518,sidney,US,47.72,-104.16,78.12,73,75,3.36
519,parabel,RU,58.71,81.5,60.32,79,1,4.85
520,moron,HT,18.56,-74.26,82.1,74,50,5.37
521,peace river,CA,56.23,-117.29,73.4,53,75,16.11
